Country,Product,Month,Quantity
India,MorningMint,Jan2004,577.0
India,MorningMint,Feb2004,548.0
India,MorningMint,Mar2004,556.0
India,MorningMint,Apr2004,553.0
India,MorningMint,May2004,570.0
India,MorningMint,Jun2004,526.0
India,MorningMint,Jul2004,518.0
India,MorningMint,Aug2004,552.0
India,MorningMint,Sep2004,558.0
India,MorningMint,Oct2004,576.0
India,MorningMint,Nov2004,538.0
India,MorningMint,Dec2004,555.0
India,FreshStart Toothpaste,Jan2004,1477.0
India,FreshStart Toothpaste,Feb2004,1579.0
India,FreshStart Toothpaste,Mar2004,1492.0
India,FreshStart Toothpaste,Apr2004,4220.0
India,FreshStart Toothpaste,May2004,1491.0
India,FreshStart Toothpaste,Jun2004,3457.0
India,FreshStart Toothpaste,Jul2004,4025.0
India,FreshStart Toothpaste,Aug2004,1619.0
India,FreshStart Toothpaste,Sep2004,4046.0
India,FreshStart Toothpaste,Oct2004,1408.0
India,FreshStart Toothpaste,Nov2004,1572.0
India,FreshStart Toothpaste,Dec2004,1618.0
India,SmileShield Whitening Strips,Jan2004,1389.0
India,SmileShield Whitening Strips,Feb2004,1366.0
India,SmileShield Whitening Strips,Mar2004,1372.0
India,SmileShield Whitening Strips,Apr2004,1364.0
India,SmileShield Whitening Strips,May2004,1398.0
India,SmileShield Whitening Strips,Jun2004,2096.0
India,SmileShield Whitening Strips,Jul2004,3751.0
India,SmileShield Whitening Strips,Aug2004,1800.0
India,SmileShield Whitening Strips,Sep2004,2782.0
India,SmileShield Whitening Strips,Oct2004,2630.0
India,SmileShield Whitening Strips,Nov2004,2708.0
India,SmileShield Whitening Strips,Dec2004,2141.0
India,LuminousLip Care,Jan2004,1620.0
India,LuminousLip Care,Feb2004,2005.0
India,LuminousLip Care,Mar2004,1619.0
India,LuminousLip Care,Apr2004,1708.0
India,LuminousLip Care,May2004,1677.0
India,LuminousLip Care,Jun2004,3375.0
India,LuminousLip Care,Jul2004,1941.0
India,LuminousLip Care,Aug2004,1807.0
India,LuminousLip Care,Sep2004,3834.0
India,LuminousLip Care,Oct2004,1624.0
India,LuminousLip Care,Nov2004,1710.0
