Origin,Destination,Product,Month,Quantity
India,India,MorningMint,Jan2004,577.0
India,India,MorningMint,Feb2004,548.0
India,India,MorningMint,Mar2004,556.0
India,India,MorningMint,Apr2004,553.0
India,India,MorningMint,May2004,570.0
India,India,MorningMint,Jun2004,526.0
India,India,MorningMint,Jul2004,518.0
India,India,MorningMint,Aug2004,552.0
India,India,MorningMint,Sep2004,558.0
India,India,MorningMint,Oct2004,576.0
India,India,MorningMint,Nov2004,538.0
India,India,MorningMint,Dec2004,555.0
India,India,FreshStart Toothpaste,Jan2004,1477.0
India,India,FreshStart Toothpaste,Feb2004,1579.0
India,India,FreshStart Toothpaste,Mar2004,1492.0
India,India,FreshStart Toothpaste,Apr2004,1523.0
India,India,FreshStart Toothpaste,May2004,1491.0
India,India,FreshStart Toothpaste,Jun2004,1552.0
India,India,FreshStart Toothpaste,Jul2004,1531.0
India,India,FreshStart Toothpaste,Aug2004,1619.0
India,India,FreshStart Toothpaste,Sep2004,1502.0
India,India,FreshStart Toothpaste,Oct2004,1408.0
India,India,FreshStart Toothpaste,Nov2004,1572.0
India,India,FreshStart Toothpaste,Dec2004,1618.0
India,India,SmileShield Whitening Strips,Jan2004,1389.0
India,India,SmileShield Whitening Strips,Feb2004,1366.0
India,India,SmileShield Whitening Strips,Mar2004,1372.0
India,India,SmileShield Whitening Strips,Apr2004,1364.0
India,India,SmileShield Whitening Strips,May2004,1398.0
India,India,SmileShield Whitening Strips,Jun2004,1438.0
India,India,SmileShield Whitening Strips,Jul2004,1439.0
India,India,SmileShield Whitening Strips,Aug2004,1280.0
India,India,SmileShield Whitening Strips,Sep2004,1357.0
India,India,SmileShield Whitening Strips,Oct2004,1268.0
India,India,SmileShield Whitening Strips,Nov2004,1472.0
India,India,SmileShield Whitening Strips,Dec2004,1462.0
India,India,LuminousLip Care,Jan2004,1620.0
India,India,LuminousLip Care,Feb2004,1738.0
India,India,LuminousLip Care,Mar2004,1619.0
India,India,LuminousLip Care,Apr2004,1708.0
India,India,LuminousLip Care,May2004,1677.0
India,India,LuminousLip Care,Jun2004,1644.0
India,India,LuminousLip Care,Jul2004,1815.0
India,India,LuminousLip Care,Aug2004,1807.0
India,India,LuminousLip Care,Sep2004,1621.0
India,India,LuminousLip Care,Oct2004,1624.0
India,India,LuminousLip Care,Nov2004,1710.0
India,India,LuminousLip Care,Dec2004,1714.0
India,India,DentalDefense Toothpaste,Jan2004,511.0
India,India,DentalDefense Toothpaste,Feb2004,485.0
India,India,DentalDefense Toothpaste,Mar2004,553.0
