Country,Product,Month,Quantity
Brazil,FreshStart Toothpaste,Jan2004,3144.000000000000000
Brazil,FreshStart Toothpaste,Feb2004,3331.000000000000000
Brazil,FreshStart Toothpaste,Mar2004,3133.000000000000000
Brazil,FreshStart Toothpaste,Apr2004,3462.000000000000000
Brazil,FreshStart Toothpaste,May2004,3552.000000000000000
Brazil,FreshStart Toothpaste,Jun2004,3506.000000000000000
Brazil,FreshStart Toothpaste,Jul2004,3261.000000000000000
Brazil,FreshStart Toothpaste,Aug2004,3117.000000000000000
Brazil,FreshStart Toothpaste,Sep2004,3454.000000000000000
Brazil,FreshStart Toothpaste,Oct2004,3430.000000000000000
Brazil,FreshStart Toothpaste,Nov2004,3500.000000000000000
Brazil,FreshStart Toothpaste,Dec2004,3244.000000000000000
Brazil,SmileShield Whitening Strips,Jan2004,1768.000000000000000
Brazil,SmileShield Whitening Strips,Feb2004,1609.000000000000000
Brazil,SmileShield Whitening Strips,Mar2004,1523.000000000000000
Brazil,SmileShield Whitening Strips,Apr2004,1667.000000000000000
Brazil,SmileShield Whitening Strips,May2004,1743.000000000000000
Brazil,SmileShield Whitening Strips,Jun2004,1685.000000000000000
Brazil,SmileShield Whitening Strips,Jul2004,1639.000000000000000
Brazil,SmileShield Whitening Strips,Aug2004,1665.000000000000000
Brazil,SmileShield Whitening Strips,Sep2004,1630.000000000000000
Brazil,SmileShield Whitening Strips,Oct2004,1696.000000000000000
Brazil,SmileShield Whitening Strips,Nov2004,1704.000000000000000
Brazil,SmileShield Whitening Strips,Dec2004,1766.000000000000000
Brazil,BriteBite Toothbrush,Jan2004,3370.000000000000000
Brazil,BriteBite Toothbrush,Feb2004,3579.000000000000000
Brazil,BriteBite Toothbrush,Mar2004,3425.000000000000000
Brazil,BriteBite Toothbrush,Apr2004,3373.000000000000000
Brazil,BriteBite Toothbrush,May2004,3287.000000000000000
Brazil,BriteBite Toothbrush,Jun2004,3512.000000000000000
Brazil,BriteBite Toothbrush,Jul2004,3342.000000000000000
Brazil,BriteBite Toothbrush,Aug2004,3502.000000000000000
Brazil,BriteBite Toothbrush,Sep2004,3619.000000000000000
Brazil,BriteBite Toothbrush,Oct2004,3731.000000000000000
Brazil,BriteBite Toothbrush,Nov2004,3464.000000000000000
Brazil,BriteBite Toothbrush,Dec2004,3458.000000000000000
Brazil,LuminousLip Care,Jan2004,1824.000000000000000
Brazil,LuminousLip Care,Feb2004,1890.000000000000000
Brazil,LuminousLip Care,Mar2004,2079.000000000000000
Brazil,LuminousLip Care,Apr2004,2115.000000000000000
Brazil,LuminousLip Care,May2004,1918.000000000000000
Brazil,LuminousLip Care,Jun2004,1990.000000000000000
Brazil,LuminousLip Care,Jul2004,2019.000000000000000
Brazil,LuminousLip Care,Aug2004,1969.000000000000000
Brazil,LuminousLip Care,Sep2004,2213.000000000000000
Brazil,LuminousLip Care,Oct2004,2029.000000000000000
Brazil,LuminousLip Care,Nov2004,1968.000000000000000
Brazil,LuminousLip Care,Dec2004,2134.000000000000000
Brazil,OralEase Gel,Jan2004,1845.000000000000000
Brazil,OralEase Gel,Feb2004,1863.000000000000000
Brazil,OralEase Gel,Mar2004,2062.000000000000000
Brazil,OralEase Gel,Apr2004,1900.000000000000000
Brazil,OralEase Gel,May2004,2085.000000000000000
Brazil,OralEase Gel,Jun2004,1894.000000000000000
Brazil,OralEase Gel,Jul2004,2161.000000000000000
Brazil,OralEase Gel,Aug2004,1850.000000000000000
Brazil,OralEase Gel,Sep2004,2017.000000000000000
Brazil,OralEase Gel,Oct2004,2088.000000000000000
Brazil,OralEase Gel,Nov2004,1948.000000000000000
Brazil,OralEase Gel,Dec2004,1853.000000000000000
Brazil,DentalDefense Toothpaste,Jan2004,2580.000000000000000
Brazil,DentalDefense Toothpaste,Feb2004,2479.000000000000000
Brazil,DentalDefense Toothpaste,Mar2004,2517.000000000000000
Brazil,DentalDefense Toothpaste,Apr2004,2601.000000000000000
Brazil,DentalDefense Toothpaste,May2004,2556.000000000000000
Brazil,DentalDefense Toothpaste,Jun2004,2474.000000000000000
Brazil,DentalDefense Toothpaste,Jul2004,2553.000000000000000
Brazil,DentalDefense Toothpaste,Aug2004,2603.000000000000000
Brazil,DentalDefense Toothpaste,Sep2004,2460.000000000000000
Brazil,DentalDefense Toothpaste,Oct2004,2568.000000000000000
Brazil,DentalDefense Toothpaste,Nov2004,2660.000000000000000
Brazil,DentalDefense Toothpaste,Dec2004,2806.000000000000000
Brazil,FreshFusion Mouth Rinse,Jan2004,2530.000000000000000
