Origin,Destination,Product,Month,Quantity
Japan,Japan,FreshStart Toothpaste,Jan2004,1471.000000000000000
Japan,Japan,FreshStart Toothpaste,Feb2004,1547.000000000000000
Japan,Japan,FreshStart Toothpaste,Mar2004,1527.000000000000000
Japan,Japan,FreshStart Toothpaste,Apr2004,1649.000000000000000
Japan,Japan,FreshStart Toothpaste,May2004,1664.000000000000000
Japan,Japan,FreshStart Toothpaste,Jun2004,1651.000000000000000
Japan,Japan,FreshStart Toothpaste,Jul2004,1484.000000000000000
Japan,Japan,FreshStart Toothpaste,Aug2004,1537.000000000000000
Japan,Japan,FreshStart Toothpaste,Sep2004,1624.000000000000000
Japan,Japan,FreshStart Toothpaste,Oct2004,1567.000000000000000
Japan,Japan,FreshStart Toothpaste,Nov2004,1638.000000000000000
Japan,Japan,FreshStart Toothpaste,Dec2004,1552.000000000000000
Japan,Japan,SmileShield Whitening Strips,Jan2004,670.000000000000000
Japan,Japan,SmileShield Whitening Strips,Feb2004,702.000000000000000
Japan,Japan,SmileShield Whitening Strips,Mar2004,684.000000000000000
Japan,Japan,SmileShield Whitening Strips,Apr2004,691.000000000000000
Japan,Japan,SmileShield Whitening Strips,May2004,635.000000000000000
Japan,Japan,SmileShield Whitening Strips,Jun2004,634.000000000000000
Japan,Japan,SmileShield Whitening Strips,Jul2004,727.000000000000000
Japan,Japan,SmileShield Whitening Strips,Aug2004,675.000000000000000
Japan,Japan,SmileShield Whitening Strips,Sep2004,661.000000000000000
Japan,Japan,SmileShield Whitening Strips,Oct2004,682.000000000000000
Japan,Japan,SmileShield Whitening Strips,Nov2004,619.000000000000000
Japan,Japan,SmileShield Whitening Strips,Dec2004,612.000000000000000
Japan,Japan,CleanSlate Mouthwash,Jan2004,514.000000000000000
Japan,Japan,CleanSlate Mouthwash,Feb2004,535.000000000000000
Japan,Japan,CleanSlate Mouthwash,Mar2004,516.000000000000000
Japan,Japan,CleanSlate Mouthwash,Apr2004,506.000000000000000
Japan,Japan,CleanSlate Mouthwash,May2004,504.000000000000000
Japan,Japan,CleanSlate Mouthwash,Jun2004,557.000000000000000
Japan,Japan,CleanSlate Mouthwash,Jul2004,520.000000000000000
Japan,Japan,CleanSlate Mouthwash,Aug2004,491.000000000000000
Japan,Japan,CleanSlate Mouthwash,Sep2004,519.000000000000000
Japan,Japan,CleanSlate Mouthwash,Oct2004,499.000000000000000
Japan,Japan,CleanSlate Mouthwash,Nov2004,538.000000000000000
Japan,Japan,CleanSlate Mouthwash,Dec2004,527.000000000000000
Japan,Japan,OralEase Gel,Jan2004,1399.000000000000000
Japan,Japan,OralEase Gel,Feb2004,1701.000000000000000
Japan,Japan,OralEase Gel,Mar2004,1657.000000000000000
Japan,Japan,OralEase Gel,Apr2004,1697.000000000000000
